RegionCode,RegionName,CountryCode,CountryName,Year,Sex,SuicideCount,CauseSpecificDeathPercentage,StdDeathRate,DeathRatePer100K,Population,GDP,GDPPerCapita,GNI,GNIPerCapita,InflationRate,EmploymentPopulationRatio
AS,Asia,ARM,Armenia,2007,Female,20,0.15487068,0.98746507,1.28524958,3004393,9206301270,3064.279963,8093596689,7780,4.407360896,54.27
AS,Asia,ARM,Armenia,2008,Male,44,0.30739137,2.69222441,2.81076344,2983421,11662040714,3908.94906,10461447034,8580,8.949953354,54.037
AS,Asia,ARM,Armenia,2008,Female,19,0.14506031,1.0232763,1.13866548,2983421,11662040714,3908.94906,10461447034,8580,8.949953354,54.037
AS,Asia,ARM,Armenia,2009,Male,43,0.30169087,3.09126975,3.18030166,2964296,8647937081,2917.366242,9633680635,7340,3.406766827,54.557
AS,Asia,ARM,Armenia,2009,Female,10,0.07514842,0.50278093,0.65103277,2964296,8647937081,2917.366242,9633680635,7340,3.406766827,54.557
AS,Asia,ARM,Armenia,2010,Male,54,0.37004043,3.85683291,4.01084116,2946293,9260285756,3143.02948,9988482237,7690,8.176361385,54.575
AS,Asia,ARM,Armenia,2010,Female,19,0.14255702,1.10001985,1.24104893,2946293,9260285756,3143.02948,9988482237,7690,8.176361385,54.575
AS,Asia,ARM,Armenia,2011,Male,51,0.34888494,3.57374379,3.78791255,2928976,10142111825,3462.681778,10160338859,8160,7.650008079,54.481
AS,Asia,ARM,Armenia,2011,Female,16,0.11989509,0.76755613,1.04565049,2928976,10142111825,3462.681778,10160338859,8160,7.650008079,54.481
AS,Asia,ARM,Armenia,2012,Male,59,0.41351276,3.91164381,4.06739466,2914421,10619320683,3643.715401,11192556125,9640,2.558020078,54.347
AS,Asia,ARM,Armenia,2012,Female,20,0.150015,1.08449938,1.27099768,2914421,10619320683,3643.715401,11192556125,9640,2.558020078,54.347
AS,Asia,ARM,Armenia,2013,Male,43,0.31094078,2.8085686,2.97049128,2901385,11121464437,3833.157074,11911914267,10430,5.789667785,54.262
AS,Asia,ARM,Armenia,2013,Female,24,0.17954664,1.12922655,1.52438347,2901385,11121464437,3833.157074,11911914267,10430,5.789667785,54.262
AS,Asia,ARM,Armenia,2014,Male,43,0.30241227,2.51873738,2.98337014,2889930,11609513247,4017.229914,12047457702,10570,2.981308689,54.165
AS,Asia,ARM,Armenia,2014,Female,15,0.11115228,0.75731641,0.95388537,2889930,11609513247,4017.229914,12047457702,10570,2.981308689,54.165
OA,Oceania,AUS,Australia,1991,Male,1806,2.83872996,19.98860648,20.96246257,17284036,3.26E+11,18859.40796,3.15E+11,17120,3.17667537,57.094
OA,Oceania,AUS,Australia,1991,Female,482,0.87795993,5.22823156,5.56029809,17284036,3.26E+11,18859.40796,3.15E+11,17120,3.17667537,57.094
OA,Oceania,AUS,Australia,1992,Male,1786,2.71903783,19.48194336,20.50281254,17478635,3.26E+11,18623.79174,3.25E+11,17550,1.012231126,56.124
OA,Oceania,AUS,Australia,1992,Female,466,0.81435786,4.8804145,5.31259975,17478635,3.26E+11,18623.79174,3.25E+11,17550,1.012231126,56.124
OA,Oceania,AUS,Australia,1993,Male,1641,2.53934358,17.67095281,18.65578318,17634808,3.12E+11,17699.55774,3.34E+11,18710,1.753653445,55.664
OA,Oceania,AUS,Australia,1993,Female,398,0.70862637,4.12348188,4.49149099,17634808,3.12E+11,17699.55774,3.34E+11,18710,1.753653445,55.664
OA,Oceania,AUS,Australia,1994,Male,1865,2.75695892,19.90309002,20.99114208,17805468,3.23E+11,18129.40219,3.37E+11,19730,1.969634797,56.831
OA,Oceania,AUS,Australia,1994,Female,418,0.70447459,4.3111096,4.66846108,17805468,3.23E+11,18129.40219,3.37E+11,19730,1.969634797,56.831
OA,Oceania,AUS,Australia,1995,Male,1711,2.58638933,18.06133547,19.03268148,18004882,3.68E+11,20448.12197,3.49E+11,20310,4.6277666,58.167
OA,Oceania,AUS,Australia,1995,Female,459,0.77859954,4.75903738,5.05874314,18004882,3.68E+11,20448.12197,3.49E+11,20310,4.6277666,58.167
OA,Oceania,AUS,Australia,1996,Male,1966,2.89202707,20.42004851,21.58470845,18224767,4.01E+11,22021.78391,3.75E+11,21350,2.615384615,58.124
OA,Oceania,AUS,Australia,1996,Female,460,0.76318147,4.65120449,4.99788133,18224767,4.01E+11,22021.78391,3.75E+11,21350,2.615384615,58.124
OA,Oceania,AUS,Australia,1997,Male,2089,3.10152329,21.60115609,22.69869809,18423037,4.36E+11,23646.62305,4.06E+11,22350,0.224887556,57.846
OA,Oceania,AUS,Australia,1997,Female,557,0.90803867,5.5659049,5.97999247,18423037,4.36E+11,23646.62305,4.06E+11,22350,0.224887556,57.846
OA,Oceania,AUS,Australia,1998,Male,2108,3.140129,21.56089538,22.67965504,18607584,4.00E+11,21479.1142,4.08E+11,23610,0.86013463,58.171
OA,Oceania,AUS,Australia,1998,Female,525,0.87170206,5.17347922,5.57526249,18607584,4.00E+11,21479.1142,4.08E+11,23610,0.86013463,58.171
OA,Oceania,AUS,Australia,1999,Male,1999,2.97536653,20.07538623,21.2737699,18812264,3.90E+11,20712.66978,4.07E+11,24690,1.483129403,58.451
OA,Oceania,AUS,Australia,1999,Female,489,0.80303478,4.87239226,5.1315379,18812264,3.90E+11,20712.66978,4.07E+11,24690,1.483129403,58.451
OA,Oceania,AUS,Australia,2000,Male,1887,2.81398193,18.67211983,19.85201778,19028802,4.16E+11,21870.41597,4.05E+11,25780,4.457435148,59.178
OA,Oceania,AUS,Australia,2000,Female,505,0.81813174,4.89242544,5.23421886,19028802,4.16E+11,21870.41597,4.05E+11,25780,4.457435148,59.178
OA,Oceania,AUS,Australia,2001,Male,1936,2.89755294,18.95002336,20.10248112,19274701,3.80E+11,19695.72974,3.92E+11,26870,4.407135362,59.037
OA,Oceania,AUS,Australia,2001,Female,523,0.84570357,4.89492428,5.34623353,19274701,3.80E+11,19695.72974,3.92E+11,26870,4.407135362,59.037
OA,Oceania,AUS,Australia,2002,Male,1813,2.63985556,17.50701968,18.5625235,19495210,3.96E+11,20301.84317,3.94E+11,28250,2.981574539,59.336
OA,Oceania,AUS,Australia,2002,Female,506,0.78609268,4.67235282,5.11145652,19495210,3.96E+11,20301.84317,3.94E+11,28250,2.981574539,59.336
AS,Asia,ARE,United Arab Emirates,2018,Male,121,1.93630981,1.48741754,1.81128045,9140169,4.27E+11,46722.26872,4.05E+11,73520,3.068633793,80.15
AS,Asia,ARE,United Arab Emirates,2018,Female,15,0.59171598,0.37256468,0.50836963,9140169,4.27E+11,46722.26872,4.05E+11,73520,3.068633793,80.15
OA,Oceania,AUS,Australia,2003,Male,1685,2.48012953,15.96370047,17.06597503,19720737,4.68E+11,23718.13385,4.22E+11,29270,2.732595966,59.829
OA,Oceania,AUS,Australia,2003,Female,471,0.73773573,4.35768078,4.7103773,19720737,4.68E+11,23718.13385,4.22E+11,29270,2.732595966,59.829
AS,Asia,ARE,United Arab Emirates,2019,Male,50,0.80997894,0.53232031,0.73890104,9211657,4.18E+11,45376.17084,4.26E+11,75200,-1.931081148,80.552
AS,Asia,ARE,United Arab Emirates,2019,Female,7,0.26666667,0.35802469,0.23304436,9211657,4.18E+11,45376.17084,4.26E+11,75200,-1.931081148,80.552
AS,Asia,ARE,United Arab Emirates,2020,Male,155,2.01822917,1.65336239,2.26729209,9287289,3.49E+11,37629.17417,3.86E+11,71070,-2.079403179,78.649
AS,Asia,ARE,United Arab Emirates,2020,Female,25,0.93423019,0.66871095,0.81858489,9287289,3.49E+11,37629.17417,3.86E+11,71070,-2.079403179,78.649
OA,Oceania,AUS,Australia,2004,Male,1672,2.44917091,15.45677686,16.72184108,19932722,6.15E+11,30836.73068,5.15E+11,30860,2.343255225,60.043
OA,Oceania,AUS,Australia,2004,Female,442,0.69012897,4.001978,4.36161671,19932722,6.15E+11,30836.73068,5.15E+11,30860,2.343255225,60.043
OA,Oceania,AUS,Australia,2006,Male,1624,2.36886633,14.69657091,16.03465381,20450966,7.48E+11,36595.70715,7.08E+11,33490,3.555287737,61.677
OA,Oceania,AUS,Australia,2006,Female,494,0.75786631,4.3278518,4.81166004,20450966,7.48E+11,36595.70715,7.08E+11,33490,3.555287737,61.677
OA,Oceania,AUS,Australia,2007,Male,1699,2.40757273,14.96107595,16.21875444,20827622,8.55E+11,41051.61207,7.79E+11,35020,2.327611289,62.344
OA,Oceania,AUS,Australia,2007,Female,530,0.78769414,4.55067915,5.00145089,20827622,8.55E+11,41051.61207,7.79E+11,35020,2.327611289,62.344
OA,Oceania,AUS,Australia,2008,Male,1833,2.49224996,15.69731024,17.1370505,21249199,1.06E+12,49701.28178,9.01E+11,36000,4.35029855,62.713
OA,Oceania,AUS,Australia,2008,Female,508,0.72161141,4.30743804,4.70265127,21249199,1.06E+12,49701.28178,9.01E+11,36000,4.35029855,62.713
OA,Oceania,AUS,Australia,2009,Male,1785,2.4681969,14.79976378,16.33065617,21691653,9.29E+11,42816.5674,9.57E+11,38900,1.771117166,61.804
OA,Oceania,AUS,Australia,2009,Female,552,0.80654588,4.51879828,5.0084504,21691653,9.29E+11,42816.5674,9.57E+11,38900,1.771117166,61.804
OA,Oceania,AUS,Australia,2010,Male,1867,2.54068913,15.23114266,16.8194501,22031750,1.15E+12,52147.02419,1.03E+12,37840,2.918340027,62.002
OA,Oceania,AUS,Australia,2010,Female,553,0.79012416,4.49389722,4.93870337,22031750,1.15E+12,52147.02419,1.03E+12,37840,2.918340027,62.002
OA,Oceania,AUS,Australia,2011,Male,1812,2.40541617,14.812703,16.29755229,22340024,1.40E+12,62609.66072,1.13E+12,40340,3.303850156,62.116
OA,Oceania,AUS,Australia,2011,Female,581,0.81142985,4.73824453,5.17742713,22340024,1.40E+12,62609.66072,1.13E+12,40340,3.303850156,62.116
OA,Oceania,AUS,Australia,2012,Male,1930,2.58042089,15.37400347,17.06028637,22733465,1.55E+12,68078.04423,1.37E+12,41560,1.762780156,61.762
OA,Oceania,AUS,Australia,2012,Female,650,0.89898208,5.28707845,5.69404694,22733465,1.55E+12,68078.04423,1.37E+12,41560,1.762780156,61.762
OA,Oceania,AUS,Australia,2013,Male,1944,2.56525296,15.32567423,16.89613924,23128129,1.58E+12,68198.41934,1.53E+12,44790,2.449888641,61.283
OA,Oceania,AUS,Australia,2013,Female,666,0.92633804,5.20249905,5.73556167,23128129,1.58E+12,68198.41934,1.53E+12,44790,2.449888641,61.283
OA,Oceania,AUS,Australia,2014,Male,2208,2.81844756,17.13175528,18.90509369,23475686,1.47E+12,62558.24388,1.53E+12,45690,2.487922705,60.785
OA,Oceania,AUS,Australia,2014,Female,714,0.94897593,5.57302598,6.03818467,23475686,1.47E+12,62558.24388,1.53E+12,45690,2.487922705,60.785
EU,Europe,AUT,Austria,1991,Male,1299,3.36188825,30.25672751,34.90645259,7754891,1.74E+11,22410.91177,1.69E+11,20600,3.337427035,53.93
EU,Europe,AUT,Austria,1991,Female,470,1.0493648,8.94047218,11.65236484,7754891,1.74E+11,22410.91177,1.69E+11,20600,3.337427035,53.93
AS,Asia,ARM,Armenia,2015,Male,55,0.3845616,3.38989447,3.83517131,2878595,10553337518,3666.141822,11738591315,10540,3.731691193,54.069
AS,Asia,ARM,Armenia,2015,Female,19,0.13995286,0.96891802,1.20981119,2878595,10553337518,3666.141822,11738591315,10540,3.731691193,54.069
AS,Asia,ARM,Armenia,2016,Male,53,0.364612,3.3264545,3.72215582,2865835,10546136236,3679.952347,11045672827,11220,-1.403607559,53.979
AS,Asia,ARM,Armenia,2016,Female,14,0.10226443,0.67298705,0.89259642,2865835,10546136236,3679.952347,11045672827,11220,-1.403607559,53.979
AS,Asia,ARM,Armenia,2017,Male,38,0.27458631,2.24503109,2.75711954,2851923,11527458709,4041.995071,11621380669,12950,0.969553269,53.807
AS,Asia,ARM,Armenia,2017,Female,6,0.04516032,0.68813947,0.39096327,2851923,11527458709,4041.995071,11621380669,12950,0.969553269,53.807
AS,Asia,ARM,Armenia,2018,Male,46,0.35327548,2.81367094,3.27410291,2836557,12457940695,4391.92327,12521390581,13770,2.52023382,53.592
AS,Asia,ARM,Armenia,2018,Female,13,0.10212097,0.65835717,0.83118291,2836557,12457940695,4391.92327,12521390581,13770,2.52023382,53.592
AS,Asia,ARM,Armenia,2019,Male,43,0.32130315,2.65108269,3.07281573,2820602,13619290539,4828.504886,13769456394,15120,1.443446608,55.218
AS,Asia,ARM,Armenia,2019,Female,6,0.04686768,0.33526084,0.38384916,2820602,13619290539,4828.504886,13769456394,15120,1.443446608,55.218
AS,Asia,ARM,Armenia,2020,Male,34,0.16973691,2.1727398,2.43946713,2805608,12641698583,4505.867742,12535906962,13890,1.211435778,54.556
AS,Asia,ARM,Armenia,2020,Female,7,0.0433732,0.27806037,0.44600561,2805608,12641698583,4505.867742,12535906962,13890,1.211435778,54.556
EU,Europe,AUT,Austria,1992,Male,1282,3.32917835,29.63924482,34.0062251,7840709,1.95E+11,24880.16412,1.92E+11,21350,4.0208478,54.558
EU,Europe,AUT,Austria,1992,Female,477,1.06821337,9.23986846,11.71756684,7840709,1.95E+11,24880.16412,1.92E+11,21350,4.0208478,54.558
AS,Asia,ARM,Armenia,2021,Male,42,0.24313998,2.61693646,3.00861107,2790974,13878908629,4972.783204,13548071334,15220,7.184836294,56.445
AS,Asia,ARM,Armenia,2021,Female,11,0.06427486,0.52155941,0.69968546,2790974,13878908629,4972.783204,13548071334,15220,7.184836294,56.445
AS,Asia,ARM,Armenia,2022,Male,36,0.26119132,2.28528413,2.5690962,2780469,19513474648,7018.051504,16574298012,18140,8.64091109,56.548
AS,Asia,ARM,Armenia,2022,Female,11,0.08521187,0.63659175,0.70154046,2780469,19513474648,7018.051504,16574298012,18140,8.64091109,56.548
EU,Europe,AUT,Austria,1993,Male,1244,3.25458494,28.44447714,32.67607321,7905633,1.90E+11,24081.52779,1.97E+11,21790,3.631785249,54.281
EU,Europe,AUT,Austria,1993,Female,460,1.03851537,8.65177897,11.2234404,7905633,1.90E+11,24081.52779,1.97E+11,21790,3.631785249,54.281
EU,Europe,AUT,Austria,1994,Male,1285,3.45022017,29.27144576,33.58559557,7936118,2.04E+11,25646.70066,2.07E+11,22680,2.953409368,56.969
EU,Europe,AUT,Austria,1994,Female,491,1.13029466,9.33760183,11.94625984,7936118,2.04E+11,25646.70066,2.07E+11,22680,2.953409368,56.969
EU,Europe,AUT,Austria,1995,Male,1333,3.54144527,30.26078946,34.76718635,7948278,2.41E+11,30325.84958,2.24E+11,23610,2.243366315,56.845
EU,Europe,AUT,Austria,1995,Female,455,1.04523213,8.1146368,11.05925012,7948278,2.41E+11,30325.84958,2.24E+11,23610,2.243366315,56.845
EU,Europe,AUT,Austria,1996,Male,1336,3.58484491,29.79045696,34.78728202,7959017,2.37E+11,29809.07677,2.40E+11,24550,1.860971158,55.724
EU,Europe,AUT,Austria,1996,Female,443,1.01787602,7.74711973,10.75625976,7959017,2.37E+11,29809.07677,2.40E+11,24550,1.860971158,55.724
EU,Europe,AUT,Austria,1997,Male,1175,3.17387429,26.34578972,30.54993523,7968041,2.13E+11,26705.4786,2.36E+11,25310,1.305978572,55.43
EU,Europe,AUT,Austria,1997,Female,417,0.98323548,7.60688266,10.1167453,7968041,2.13E+11,26705.4786,2.36E+11,25310,1.305978572,55.43
EU,Europe,AUT,Austria,1998,Male,1177,3.23511627,26.17393738,30.55423884,7976789,2.18E+11,27361.87511,2.23E+11,26510,0.922467197,55.601
EU,Europe,AUT,Austria,1998,Female,382,0.91045594,7.04968525,9.2614525,7976789,2.18E+11,27361.87511,2.23E+11,26510,0.922467197,55.601
EU,Europe,AUT,Austria,1999,Male,1126,3.13823857,24.77821689,29.15451895,7992324,2.17E+11,27183.47593,2.16E+11,27170,0.568993766,56.217
EU,Europe,AUT,Austria,1999,Female,429,1.0137051,7.65580762,10.38704955,7992324,2.17E+11,27183.47593,2.16E+11,27170,0.568993766,56.217
EU,Europe,AUT,Austria,2000,Male,1156,3.28306495,25.11892726,29.83443694,8011566,1.97E+11,24625.60072,2.15E+11,29130,2.344862854,55.957
EU,Europe,AUT,Austria,2000,Female,432,1.03923597,7.8119962,10.44273069,8011566,1.97E+11,24625.60072,2.15E+11,29130,2.344862854,55.957
OA,Oceania,AUS,Australia,2015,Male,2329,2.86364195,17.87539271,19.69114411,23815995,1.35E+12,56758.8692,1.44E+12,45350,1.508366722,61.07
OA,Oceania,AUS,Australia,2015,Female,764,0.98299066,5.8781953,6.37285737,23815995,1.35E+12,56758.8692,1.44E+12,45350,1.508366722,61.07
EU,Europe,AUT,Austria,2001,Male,1081,3.13333333,23.35733715,27.76122776,8042293,1.98E+11,24558.76368,2.04E+11,29300,2.650000773,55.905
EU,Europe,AUT,Austria,2001,Female,408,1.01323665,7.08055729,9.83518117,8042293,1.98E+11,24558.76368,2.04E+11,29300,2.650000773,55.905
OA,Oceania,AUS,Australia,2016,Male,2171,2.65186217,16.5824728,18.08708611,24190907,1.21E+12,49918.79393,1.31E+12,46170,1.276990945,61.175
OA,Oceania,AUS,Australia,2016,Female,738,0.96298133,5.54220737,6.05520178,24190907,1.21E+12,49918.79393,1.31E+12,46170,1.276990945,61.175
OA,Oceania,AUS,Australia,2017,Male,2454,2.95755297,18.45532569,20.10780537,24592588,1.33E+12,53954.55349,1.27E+12,47090,1.948647409,61.536
OA,Oceania,AUS,Australia,2017,Female,836,1.0702992,6.14324815,6.74738454,24592588,1.33E+12,53954.55349,1.27E+12,47090,1.948647409,61.536
EU,Europe,AUT,Austria,2002,Male,1190,3.38395041,25.15858946,30.3653539,8081957,2.14E+11,26527.59309,2.02E+11,31000,1.810357878,56.1
EU,Europe,AUT,Austria,2002,Female,363,0.8861223,6.39785251,8.71929421,8081957,2.14E+11,26527.59309,2.02E+11,31000,1.810357878,56.1
OA,Oceania,AUS,Australia,2018,Male,2438,2.95726641,18.06721648,19.67680803,24963258,1.43E+12,57273.52048,1.33E+12,48670,1.911400944,62.161
OA,Oceania,AUS,Australia,2018,Female,767,1.00631076,5.59910879,6.10035586,24963258,1.43E+12,57273.52048,1.33E+12,48670,1.911400944,62.161
OA,Oceania,AUS,Australia,2019,Male,2536,2.87818774,18.51092272,20.16007545,25334826,1.39E+12,55049.57192,1.39E+12,50260,1.610767873,62.547
OA,Oceania,AUS,Australia,2019,Female,822,1.01668501,5.92737677,6.44155243,25334826,1.39E+12,55049.57192,1.39E+12,50260,1.610767873,62.547
EU,Europe,AUT,Austria,2003,Male,1068,3.01286391,22.31378958,27.10463837,8121423,2.62E+11,32294.04886,2.28E+11,32070,1.355553709,56.323
